NeST ID	Old System Name	New System Name	Genes
NEST:129	BAF (SWI/SNF) complex	Chromatin remodeling and regulation of gene expression	"SMARCB1, ARID1A, SMARCE1, SOX2, SMARCA4, PBRM1, ARID1B, ARID2"
NEST:13	Ribosome biogenesis	Ribosome Biogenesis and DNA Damage Response	"HRAS, NHP2, RPL5, RPS15, NPM1, PELP1, DDX3X, PHB2, DIS3, NSD2, DKC1, CHEK2, FOXL2, CTCF, PA2G4, ASNS, SHQ1, XPC"
NEST:130	Homologous recombination	DNA Damage Response and Repair	"FANCD2, RAD51C, TP53, BRCA1, CHEK1, BLM, WRN, BRCA2, BUB1B, TOP2A, BARD1, RAD51"
NEST:132	Cell Proliferation	Growth Factor Signaling and Cell Cycle Regulation	"EGF, EGFR, ERBB4, FRS2, TP53, MYC, FGF5, FGF7, IGF1, IGF2, ERBB3, RB1, FGF1, FGF2"
NEST:133	Histone methyltransferase subcomplex	Chromatin Modification and Transcriptional Regulation	"EP300, KMT2A, KDM6A, KMT2B, KMT2D, MEN1"
NEST:134	RPA complex associated proteins	DNA Damage Response and Repair	"XPC, BRCA1, ATR, ATM, BLM, XPA"
NEST:14	Locomotion	Signal Transduction and Cytoskeletal Regulation in Cancer Progression	"CBL, NFE2L2, PAK3, CHEK2, RAC1, PIK3R1, MAPK1, SLIT2, GNAQ, ACTA2, SPRED1, PAK1, CASR, GNA13, RHOA, MYH11, PIK3CA, CDH1, PPP1CB, GNA11, GNAS, TNF, ARHGAP26, LMNA, PREX2, EGFR, PALLD, HSP90AA1, DNM2, TPM1, ESR1, RHPN2, LATS1"
NEST:145	mTOR regulation of mRNA translation	mTOR Signaling Pathway Regulation	"RPS6KB1, AKT1, RPTOR, MTOR, RICTOR"
NEST:15	Cellular response to DNA damage	DNA Damage Response and Cell Cycle Regulation	"UBE2T, RAD51C, MRE11, CKS1B, BRCA2, MDC1, HDAC3, MKI67, EP300, CDKN1C, PALB2, TP53, RBL1, MTA1, ATR, BRIP1, MSH2, XRCC1, PPP1CC, FANCM, ATM, MDM4, SMARCE1, BLM, JUN, RBL2, CDKN2B, AR, FANCA, BRD4, HDAC1, CCND1, RAD51D, WRN, PPP1CA, SMARCA4, HDAC2, ING1, MSH6, MYB, PARP1, CDKN2A, CHEK2, TAF1, CDC25A, DNMT1, ARID1A, STAT3, FANCD2, IRF2, HLA-A, TP63, RAD54L, CDKN2C, CCNE2, CCNE1, FANCI, RAD51, FANCG, BRCA1, FANCE, EMSY, CDKN1A, E2F5, KDM5A, FANCL, POLE, BCL11B, RB1, PRKDC, CREBBP, POLH, YEATS4, HIST3H3, RAD50, H3F3A, MLH1, NBN, SMARCB1, AURKB, CDKN1B, AURKA, FANCC, MSH3, MLH3, CHD4, EED, SMAD2, CDK4, XRCC3, CDK6, CHEK1, PMS2, E2F4, DNMT3A, E2F2, CTNNB1, TYMS, CDK5, RUNX1, TERT, XPC, SMC3, BUB1B, BARD1, IKZF1, E2F1, EZH2, NPM1, CCND2, XRCC2, PMS1, DNMT3B, MDM2, TNF, DAXX, MYC, SOX2, HIF1A, REL, PML, POLD1, TFDP1, CCND3, CDC73, TOP2A, ZBTB2, RAD51B"
NEST:150	G1 to S cell cycle control	Cell Cycle Regulation and Control	"CDKN1B, CCND1, TP53, CDK4, CDK6, CDKN1A, CDKN2A, CDKN2B, CDKN2C, CCND2, CCND3, CCNE1, CCNE2"
NEST:158	Histone modifications in DNA damage response	Chromatin Organization and DNA Damage Response	"CTCF, XPC, CASP8, PARP1, HIST1H1E, HIST1H1C"
NEST:16	NeST:16	Angiogenesis and Vascular Development	"ARID5B, SOX17, ADGRA2, CBR3, RET, SETBP1, FGF10, FGF19, VEGFA, PREX2, FCGR2A, SH2B3, ERG, VSIR, NOTCH4, EBF1, FLT1, NEGR1, EPCAM, KDR, EGF, FLT4"
NEST:163	NeST:163	Chromatin remodeling and transcriptional repression complex	"HDAC3, PML, TBL1XR1, ANKRD11, NCOR1, GPS2, NCOR2"
NEST:169	Neg Regulation EGFR	PI3K/Akt Signaling Pathway Regulation	"AKT1, PTEN, CTNNB1, EGF, EGFR, NF2"
NEST:18	Regulation of immune responses	Immune System Regulation and Antigen Presentation	"GATA3, HLA-G, CIITA, P2RY8, HLA-DQA2, HLA-DQB2, HLA-B, HLA-DPB1, MS4A1, KLHL6, IL7R, TIGIT, HLA-DMA, CD70, HLA-DRB5, CARD11, TAP2, PRF1, HLA-E, PDCD1LG2, HLA-DOB, PTPN22, TNFRSF9, JAK3, CD79A, IKZF1, TNFRSF14, HLA-DRA, HLA-A, CTLA4, TNFRSF17, B2M, FLT3, HLA-DPA1, CD79B, SH2D1A, IL15, HLA-DRB1, PDCD1, BIRC3, CD40, CXCR4, IDO1, IKZF3, CD19, HLA-DQA1, HLA-F, HLA-DQB1, HLA-DMB, CD274, IRF1, LAG3, STAT4, IRF4, HLA-DOA, PHOX2B, HLA-C"
NEST:186	MDM2-p53 pathway	Cell Cycle Regulation and DNA Damage Response	"TP53, MDM4, CHEK2, MDM2, RB1, CDKN1A, ATR, ATM"
NEST:19	RNA metabolism	RNA Processing and Regulation of Gene Expression	"FUBP1, GATA3, RBM10, UPF1, CASP8, DDX3X, PRCC, SF3B1, FUS, TNF, SPEN, BRD4, SRSF2, SF1, EWSR1, CDC73, BCLAF1, ZRSR2, PRKDC, CREBBP, PRPF40B, U2AF1"
NEST:196	Cohesin	Cohesin Complex Assembly and Chromosome Segregation	"SMC3, RAD21, SMC1A, STAG1, STAG2"
NEST:2	Cytoplasm/extracellular space	Immune Response Modulation and Signal Transduction	"PLK2, CSF1R, ETS1, FGFR3, TAP1, FCGR2A, TIGIT, HLA-DMA, ERBB4, PRF1, SPTA1, SOCS1, SOD2, JAK3, MYD88, PCBP1, AXL, CTLA4, B2M, CCND1, IL15, PDCD1, HSP90AA1, JAK1, HLA-DMB, FGF23, BTK, HLA-DOA, FLT4, FAM46C, HLA-G, PAK3, DPYD, HLA-DPB1, HLA-DRB5, ERG, GNAQ, PAK1, VSIR, EXT2, IFIT2, GATA1, HLA-E, MPL, PDGFRB, CASR, CYP3A5, TNFRSF9, STAT3, PIK3CA, C8orf34, MAFB, PIK3R3, IDH1, BCL2L12, HLA-DRA, GNA11, HLA-A, TLR4, SH2D1A, GALNT12, IRS2, HLA-DQB1, GREM1, IFIT3, EPHB2, RHPN2, CBL, FGF10, HAVCR2, LYN, KIF1B, PAK5, PTPN11, EBF1, CYLD, ENG, CBLB, PIK3CG, MYOD1, STAT5A, CBR3, PREX2, CD79B, SH2B3, HLA-DRB1, NKX2-1, FRS2, CD40, IRF1, PTK2, AKT1, P2RY8, HLA-B, HLA-DQB2, EPHA3, ABL1, SLIT2, POU2F2, DMD, IKZF1, ARID5B, APOB, EPHA2, PTPRD, PIK3CD, PML, EGFL7, KIT, DNM2, HNF1A, IRF4, ABCC3, PHOX2B, NFE2L2, TMEM127, ERRFI1, GATA3, EPOR, MAPK1, CARD11, SPRED1, CD22, HLA-DOB, NTRK3, FLT1, GNA13, RHOA, IL2RA, SRC, SMAD3, ADGRA2, FYN, RET, SETBP1, PRDM1, IFNGR1, GNAS, TPMT, EPHA7, CRKL, GRIN2A, LAG3, PDGFRA, SOX17, CIITA, PIK3R2, JAK2, IFNAR1, CHEK2, RAC1, KLHL6, CD70, TAP2, TNFAIP3, NFKBIA, IL10RA, FOXA1, IRF2, ATP7B, EPHA5, SYK, FLT3, BIRC3, BCAR1, CD19, IKZF3, HLA-F, ESR1, IFNGR2, IFNAR2, FOXP1, KDR, HLA-C, LATS1, HLA-DQA2, MS4A1, IL7R, MST1, PDCD1LG2, PTPN22, GPC3, CD79A, ERBB2, HGF, TNFRSF14, HRAS, TNFRSF17, ARHGAP26, HLA-DPA1, EGFR, FBXO11, NF2, FANCC, ABL2, CUL3, TPM1, CXCR4, IDO1, HLA-DQA1, STAT6, RASA1, EPCAM, EPHB1, CSF3R, STAT5B, CYP1B1, VEGFA, MC1R, IFIT1, CYP2D6, PIK3R1, ACTA2, MAP2K1, INHBA, MYH11, CDH1, PPP1CB, FAS, FGF19, HNF1B, TNF, CD276, IRS1, LMNA, FCGR3A, TMEM173, PALLD, NOTCH4, CD274, PLCG2, NEGR1, STAT4, IGF1, IKBKE, IL6R, EGF, QKI"
NEST:20	Extracellular matrix organization	Tissue Development and Remodeling	"FGF10, CD276, DPYD, TNF, PALLD, ACTA2, FANCC, INHBA, DMD, PDGFRB, ENG, GREM1, FOXA1"
NEST:21	Endoplasmic Reticulum protein processing	Protein Trafficking and ER-to-Golgi Transport Regulation	"EGFR, TRAF3, CALR, TUSC3, ARFRP1, SEC23B"
NEST:221	Beta-catenin	Wnt/β-Catenin Signaling Pathway Regulation	"CTNNB1, AMER1, MYC, AXIN1, DAXX"
NEST:231	MutS homologs	Mismatch Repair Pathway	"MSH3, MSH6, MLH1, PMS2, MSH2"
NEST:25	Lymphocyte activation	Immune Response Regulation and Antigen Presentation	"HLA-G, CIITA, HLA-B, HAVCR2, CSF1R, LYN, TAP1, HLA-DPB1, FCGR2A, HLA-DMA, TIGIT, HLA-DRB5, TAP2, CD22, HLA-E, PTPN22, IKZF1, FYN, HLA-DRA, HLA-A, CTLA4, B2M, PIK3CD, SYK, HLA-DPA1, FCGR3A, SH2D1A, HLA-DRB1, PDCD1, CD40, KIT, IKZF3, HLA-F, HLA-DQA1, HLA-DQB1, HLA-DMB, BTK, HLA-DOA, HLA-C"
NEST:254	PI3-K/Akt	Insulin and IGF-1 signaling pathways	"PTEN, PDPK1, EGFR, IRS1, IGF1R, INSR"
NEST:277	MutL alpha/beta complex	DNA Repair and Genomic Stability Maintenance	"BRCA1, BRIP1, MLH1, PMS2, PMS1"
NEST:29	NeST:29	Angiogenesis and Vascular Development Regulation	"TMEM127, SOX17, ADGRA2, ETS1, VEGFA, EGFL7, SH2B3, ERG, VSIR, NOTCH4, FLT1, ENG, KDR, FLT4"
NEST:3	Regulation of cellular homeostasis	Genome Integrity and Regulation	"UBE2T, E2F6, MDC1, HDAC3, RPS6KB1, KMT2C, SUZ12, PALB2, SMC1A, MTA1, RSF1, SOCS1, ATR, MSH2, ERCC6, FANCM, U2AF1, BCORL1, SMARCE1, BLM, DKC1, RBL2, NCOR2, CIC, ANKRD11, MAP3K7, AR, PCBP1, PPP2R2A, KMT2D, CCND1, PIK3C3, PARK2, XPA, HSP90AA1, WRN, ACVR1B, ATIC, MGA, ERCC4, SMARCA4, HDAC2, MEN1, ING1, MSH6, MYB, MAGI2, PRKCZ, PHB2, CDKN2A, FANCB, STK11, TAF1, CDC25A, ARAF, GATA1, STAT3, SETD2, TGFBR1, STAG2, PNRC1, BAP1, FOXL2, BCL2L12, HLA-A, TRAF7, TP63, RARA, MLLT3, RPL5, RAD54L, CDKN2C, RPTOR, TBL1XR1, LEF1, STAG1, FANCI, BCL6, BRCA1, NHP2, FANCE, PPP2CB, CASP8, KRAS, NSD2, TSC2, BCOR, E2F5, KDM5A, FANCL, NSD1, NUP98, BCL11B, PTPN11, GPS2, ZRSR2, POLH, MIB1, FBXW7, PPP2CA, TOP1, YEATS4, HIST3H3, CTCF, H3F3A, MLH1, MYCN, ASXL2, SMARCB1, PHF6, AURKB, SHQ1, SMARCA1, AURKA, MLH3, FRS2, NKX3-1, DOT1L, MECOM, NUP93, XRCC3, KDM6A, ATRX, CHEK1, AKT1, PMS2, E2F4, DNMT3A, PBRM1, TSC1, ABL1, CTNNB1, ARID2, XPO1, MAX, TERT, XPC, PELP1, ERCC2, IKZF1, E2F1, EZH2, PRPF40B, CCND2, FUBP1, PPP6C, RBM10, RICTOR, PMS1, DNMT3B, MDM2, DAXX, ELOC, MYC, MED12, SOX2, RAF1, PML, POLD1, KMT2A, EWSR1, SLX4, HIST1H2BD, TOP2A, ZBTB2, RAD51B, HDAC4, UMPS, RAD51C, MRE11, GEN1, GATA3, DICER1, CKS1B, HIST1H3F, BRCA2, MKI67, KAT6A, SPEN, FOXO3, EP300, ERCC3, CDKN1C, TP53, RBL1, H3F3C, BRAF, BRIP1, RHOA, HIST1H1C, XRCC1, ATM, PPP1CC, MDM4, CDK8, SMAD3, JUN, PRDM1, PRCC, CDKN2B, MYCL, FANCA, CDK12, BRD4, HDAC1, RAD51D, BTG1, PPP1CA, RAB35, BCLAF1, CRKL, MUTYH, SMAD4, FANCF, PARP1, DDX3X, CUX1, AMER1, E2F3, RUNX1T1, CHD2, CHEK2, SRSF2, RAD52, DNMT1, SF1, PA2G4, TAP2, ARID1A, ERCC1, CTC1, MED1, KDM5C, CCDC6, MTOR, FANCD2, IRF2, SF3B1, RPS15, SKP1, HIST1H1E, PIAS4, TET2, CCNE2, CCNE1, ESR1, RAD51, LATS1, FANCG, EGLN1, WT1, FUS, EMSY, ZNF217, CDKN1A, POT1, POLE, KMT2B, BCL7A, RB1, CREBBP, PRKDC, ASNS, NCOA3, TCF3, HIST1H4E, RAD50, HDAC5, HRAS, NBN, RAD21, VHL, RANBP2, CDKN1B, AXIN2, HSPH1, MAD2L2, ERCC5, MSH3, FANCC, NF2, CUL3, CEP57, CHD4, EED, SMAD2, CDK4, CDK6, GID4, MGMT, E2F2, TYMS, CDK5, ARID1B, PPP1R15A, RUNX1, PPP2R1B, SMC3, ASXL1, DDB2, GSTP1, NF1, INHBA, BUB1B, BARD1, NPM1, DIS3, XRCC2, RECQL4, UPF1, PPP1CB, TNF, WEE1, HIF1A, LMNA, REL, TFDP1, CCND3, NCOR1, CDC73, RXRA, RINT1, PPP2R1A"
NEST:31	Extracellular matrix	"Regulation of Cell Structure, Proliferation, and Repair Mechanisms"	"PALLD, ACTA2, FANCC, FGF10, PDGFRB, CD276, TNF, GREM1"
NEST:33	Ribosome abundance control	Regulation of Cell Proliferation and Genome Stability	"HRAS, TNF, RPL5, NPM1, DKC1, CHEK2, XPC, TERT, FUS, SF3B1, RHOA, CDC73"
NEST:34	Epigenetic modification	Chromatin remodeling and transcriptional regulation in cancer	"IRF2, PARP1, PRDM1, DNMT3B, DNMT3A, HDAC3, EMSY, ZNF217, PHF6, BRD4, HDAC1, KDM5A, RUNX1, TERT, SMARCA1, PALB2, BCL11B, TP53, DNMT1, MTA1, CHD4, RB1, CREBBP, ZBTB2, BARD1, HDAC2, E2F1, HIST3H3, EZH2, ING1"
NEST:35	Spliceosomal complex	Pre-mRNA Splicing Regulation	"SF3B1, CDC73, RBM10, SF1, ZRSR2, PRPF40B"
NEST:39	Regulation of mRNA processing	Regulation of Apoptosis and RNA Splicing	"CASP8, BCLAF1, SPEN, U2AF1, SRSF2, RBM10, SF1"
NEST:4	Nucleus	Chromatin remodeling and transcriptional regulation	"E2F6, HDAC3, KMT2C, PALB2, SMC1A, RSF1, MTA1, ATR, ERCC6, U2AF1, BCORL1, SMARCE1, DKC1, NCOR2, ANKRD11, MAP3K7, PCBP1, AR, PPP2R2A, KMT2D, XPA, HSP90AA1, WRN, ATIC, MGA, SMARCA4, HDAC2, MEN1, ING1, MAGI2, MYB, PRKCZ, PHB2, TAF1, GATA1, SETD2, STAG2, PNRC1, BAP1, FOXL2, RARA, MLLT3, RPL5, TBL1XR1, STAG1, BCL6, NHP2, PPP2CB, CASP8, NSD2, BCOR, KDM5A, NSD1, NUP98, BCL11B, PTPN11, GPS2, ZRSR2, FBXW7, PPP2CA, TOP1, YEATS4, HIST3H3, CTCF, H3F3A, MYCN, ASXL2, SMARCB1, PHF6, SHQ1, SMARCA1, DOT1L, NUP93, KDM6A, ATRX, DNMT3A, PBRM1, CTNNB1, ARID2, XPO1, MAX, TERT, XPC, PELP1, ERCC2, E2F1, PRPF40B, EZH2, FUBP1, RBM10, DNMT3B, MDM2, DAXX, ELOC, MYC, MED12, SOX2, RAF1, PML, KMT2A, EWSR1, SLX4, TOP2A, ZBTB2, HDAC4, UMPS, GATA3, KAT6A, SPEN, EP300, ERCC3, TP53, RBL1, H3F3C, RHOA, HIST1H1C, XRCC1, ATM, PPP1CC, MDM4, CDK8, PRDM1, PRCC, MYCL, CDK12, BRD4, HDAC1, PPP1CA, BCLAF1, PARP1, DDX3X, CUX1, RUNX1T1, CHD2, CHEK2, SRSF2, DNMT1, SF1, PA2G4, ARID1A, MED1, CCDC6, FANCD2, IRF2, SF3B1, RPS15, SKP1, HIST1H1E, PIAS4, ESR1, LATS1, WT1, FUS, EMSY, ZNF217, CDKN1A, POT1, KMT2B, BCL7A, RB1, CREBBP, PRKDC, ASNS, NCOA3, TCF3, RAD50, HDAC5, HRAS, RAD21, VHL, RANBP2, ERCC5, MSH3, CUL3, CHD4, EED, SMAD2, ARID1B, RUNX1, SMC3, ASXL1, GSTP1, NF1, BARD1, NPM1, DIS3, UPF1, TNF, REL, TFDP1, NCOR1, RXRA, CDC73, PPP2R1A"
NEST:42	Transcription elongation	Chromatin Modification and Signal Transduction in Cell Proliferation and Maintenance	"TERT, CDC73, PTPN11, SETD2, PPP1CC, DNMT3A, KMT2A, CHD2"
NEST:44	Nuclear transport	Nuclear Transport and Telomere Maintenance	"GATA3, DAXX, XPO1, NUP93, RANBP2, TERT, NUP98"
NEST:45	Mediator/CCR-NOT complex	Regulation of Gene Expression via RNA Interference and Transcriptional Control	"DICER1, PNRC1, CDK8, BTG1, ESR1, MED1, FBXW7, MED12, RARA"
NEST:49	NeST:49	Angiogenesis and Vascular Signaling	"SH2B3, ERG, VSIR, NOTCH4, FLT1, VEGFA, KDR, FLT4"
NEST:5	Cell motility	Signal Transduction and Cellular Communication in Cancer Progression	"ERRFI1, CBL, PLK2, FGF10, CSF1R, PAK5, FCGR2A, MAPK1, SPRED1, EBF1, FLT1, GNA13, CBLB, RHOA, GPC3, ENG, IL2RA, ADGRA2, CBR3, RET, SETBP1, GNAS, ARHGAP26, PREX2, QKI, EGFR, SH2B3, NF2, FANCC, ABL2, CUL3, HSP90AA1, TPM1, FGF23, PDGFRA, EPCAM, FLT4, SOX17, PAK3, VEGFA, DPYD, ABL1, CHEK2, RAC1, PIK3R1, SLIT2, GNAQ, ACTA2, ERG, PAK1, VSIR, EXT2, INHBA, CASR, DMD, LATS1, RHPN2, PDGFRB, MYH11, FOXA1, PIK3CA, ARID5B, CDH1, PPP1CB, BCL2L12, GNA11, FGF19, TNF, CD276, LMNA, PALLD, NOTCH4, DNM2, ESR1, NEGR1, FOXP1, KDR, GREM1, EGF, NFE2L2"
NEST:54	Cell-extracellular matrix interactions	Cytoskeletal Dynamics and Smooth Muscle Contraction	"PALLD, ACTA2, TPM1, MYH11, CASR"
NEST:6	Transcription	Chromatin Modification and Transcriptional Regulation	"E2F6, GATA3, HDAC3, KMT2C, SPEN, KAT6A, EP300, ERCC3, PALB2, TP53, SMC1A, RBL1, RSF1, MTA1, ATR, ERCC6, XRCC1, ATM, PPP1CC, U2AF1, BCORL1, CDK8, SMARCE1, DKC1, MAP3K7, ANKRD11, PRDM1, PRCC, MYCL, AR, CDK12, KMT2D, BRD4, HDAC1, XPA, WRN, PPP1CA, BCLAF1, MGA, SMARCA4, HDAC2, MEN1, ING1, MAGI2, MYB, PARP1, DDX3X, CUX1, CHD2, TAF1, SRSF2, DNMT1, SF1, ARID1A, GATA1, MED1, SETD2, FANCD2, STAG2, BAP1, IRF2, SF3B1, HIST1H1E, RARA, MLLT3, ESR1, TBL1XR1, STAG1, LATS1, BCL6, WT1, CASP8, FUS, EMSY, ZNF217, BCOR, KDM5A, NSD1, NUP98, KMT2B, BCL11B, PTPN11, BCL7A, ZRSR2, PRKDC, CREBBP, RB1, FBXW7, TOP1, YEATS4, HIST3H3, CTCF, HDAC5, MYCN, ASXL2, RAD21, SMARCB1, PHF6, RANBP2, SMARCA1, ERCC5, MSH3, CHD4, DOT1L, EED, SMAD2, KDM6A, ATRX, DNMT3A, PBRM1, CTNNB1, ARID2, XPO1, MAX, ARID1B, RUNX1, TERT, SMC3, ASXL1, NF1, ERCC2, BARD1, E2F1, EZH2, PRPF40B, NPM1, FUBP1, RBM10, UPF1, DNMT3B, MDM2, TNF, MYC, DAXX, MED12, SOX2, REL, PML, KMT2A, TFDP1, EWSR1, NCOR1, CDC73, TOP2A, ZBTB2, PPP2R1A"
NEST:7	Metabolism	Hepatic Metabolism and Endocrine Regulation	"IDH1, CYP1B1, APOB, FGF19, HNF1B, CD276, ATP7B, TPMT, CYP2D6, MST1, GATA1, SPTA1, CYP3A5, FGF23, GPC3, HNF1A, ABCC3, HGF"
NEST:73	EGFR-MAPK signaling	Signal Transduction and Cell Cycle Regulation	"MDM4, HDAC5, AKT1, STAT5A, CBL, HRAS, KRAS, TSC1, TNF, MYC, ABL1, MAP2K2, TSC2, RAF1, CDC25A, ARAF, CDKN1B, EGFR, MAPK1, MAP2K1, BRAF, STAT3, HDAC4"
NEST:77	Ubiquitin regulation of mitophagy	Protein Quality Control and Degradation Pathway	"HSP90AA1, VHL, CUL3, STK11, ELOC, FBXW7, SKP1, PARK2"
NEST:8	Immune system	Immune System Regulation and Signaling	"GATA3, CSF1R, TAP1, FCGR2A, TIGIT, HLA-DMA, CARD11, CD22, PRF1, HLA-DOB, NTRK3, SOD2, JAK3, IL2RA, FYN, MYD88, PRDM1, PCBP1, AXL, CTLA4, B2M, IL15, PDCD1, HLA-DMB, LAG3, BTK, HLA-DOA, FAM46C, HLA-G, CIITA, JAK2, HLA-DPB1, KLHL6, CD70, HLA-DRB5, TAP2, VSIR, HLA-E, TNFRSF9, TNFAIP3, NFKBIA, IL10RA, MAFB, HLA-DRA, HLA-A, TLR4, SYK, FLT3, SH2D1A, BIRC3, CD19, IKZF3, HLA-F, IFNGR2, HLA-DQB1, FOXP1, HLA-C, HLA-DQA2, HAVCR2, LYN, MS4A1, IL7R, PDCD1LG2, PTPN22, CYLD, PIK3CG, CD79A, HGF, STAT5A, TNFRSF14, TNFRSF17, HLA-DPA1, CD79B, HLA-DRB1, NKX2-1, CD40, CXCR4, IDO1, HLA-DQA1, IRF1, CSF3R, HLA-B, P2RY8, HLA-DQB2, POU2F2, IKZF1, FAS, PIK3CD, FCGR3A, TMEM173, KIT, CD274, PLCG2, STAT4, IGF1, IKBKE, IRF4, IL6R, PHOX2B"
NEST:80	NeST:80	Angiogenesis and Vascular Endothelial Growth Factor Signaling	"NOTCH4, KDR, FLT1, FLT4, VEGFA, SH2B3, ERG"
NEST:84	Lymphoid JAK/STAT signaling	JAK-STAT Signaling Pathway and Cytokine-Mediated Immune Response	"SOCS1, STAT5B, STAT6, IFNAR2, PIK3R1, STAT5A, PTPN11, IRS1, JAK1, JAK2, CSF3R, STAT3, IL6R, IRS2, JAK3, EPOR"
NEST:89	RTK-JAK-STAT signaling	EGFR Signaling Pathway and Cellular Proliferation	"EGF, EGFR, ERBB2, ERBB4, FRS2, CBL, PIK3R1, ERBB3, STAT5A, PTPN11, BCR, RET, CBLB, INPPL1, IRS1, JAK1, JAK2, PDGFRA, CSF3R, PLCG2, STAT3"
NEST:9	Nucleolus	Regulation of Gene Expression and Genome Integrity Maintenance	"PHB2, PPP2CB, NHP2, DDX3X, FUS, NSD2, CHEK2, TERT, PELP1, XPC, PA2G4, GSTP1, ASNS, RHOA, PPP2CA, NPM1, CTCF, CDK8, DIS3, UPF1, HRAS, DKC1, FOXL2, RPS15, SF3B1, VHL, TNF, HDAC1, SHQ1, RPL5, ATIC, CDC73, TOP2A, UMPS"
NEST:92	Polybromo- and BAF containing complex	Chromatin Remodeling and Transcriptional Regulation	"BCL7A, SMARCE1, ARID1A, CHD4, PBRM1, SMARCB1, MYC, ARID2, SMARCA4, SOX2, HDAC2, ARID1B"
NEST:97	Cell projection morphogenesis	Ephrin Receptor Signaling and Axon Guidance	"EPHB2, SLIT2, PTPRD, EPHA2, EPHA3, EPHA5, EPHA7, EPHB1"
NEST:98	Histone methyltransferase complex	Chromatin remodeling and transcriptional regulation in cellular signaling pathways	"EP300, TNF, KMT2C, CTNNB1, KMT2D, KDM6A, MEN1, HIST3H3, KMT2A, MAGI2, KMT2B"
