"All_Genes","Annotation","C_rho_mean_cell","C_rho_mean_genie","cellvsgenie","cellvsgenie_ratio","Direct_Genes","Importance","name","NEST ID","P_rho_cell_bins","P_rho_genie_bins","P_rho_mean_cell","P_rho_mean_genie","RLIPP_cell","RLIPP_genie","selected","shared name","Size-Log","Size_All","Size_Direct"
"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASNS,ASXL1,ASXL2,ATIC,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CCDC6,CDC73,CDK12,CDK8,CDKN1A,CHD2,CHD4,CHEK2,CREBBP,CTCF,CTNNB1,CUL3,CUX1,DAXX,DDX3X,DIS3,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,ELOC,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FOXL2,FUBP1,FUS,GATA1,GATA3,GPS2,GSTP1,H3F3A,H3F3C,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HIST1H1C,HIST1H1E,HIST3H3,HRAS,HSP90AA1,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MDM4,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOA3,NCOR1,NCOR2,NF1,NHP2,NPM1,NSD1,NSD2,NUP93,NUP98,PA2G4,PALB2,PARP1,PBRM1,PCBP1,PELP1,PHB2,PHF6,PIAS4,PML,PNRC1,POT1,PPP1CA,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R2A,PRCC,PRDM1,PRKCZ,PRKDC,PRPF40B,PTPN11,RAD21,RAD50,RAF1,RANBP2,RARA,RB1,RBL1,RBM10,REL,RHOA,RPL5,RPS15,RSF1,RUNX1,RUNX1T1,RXRA,SETD2,SF1,SF3B1,SHQ1,SKP1,SLX4,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TCF3,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UMPS,UPF1,VHL,WRN,WT1,XPA,XPC,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2","Regulation of biogenesis","0.7798","0.6104","cells ~ clinical","0.7651399491094147","CCDC6,CUL3,ELOC,H3F3A,H3F3C,HSP90AA1,PCBP1,PIAS4,PNRC1,POT1,PPP2R2A,PRKCZ,RAD50,RAF1,RXRA,SKP1,SLX4","1","Regulation of biogenesis","NEST:4","5","4","0.786","0.6014","1.0084","0.9854","false","Regulation of biogenesis","2.287801729930226","194","17"
"CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1","SMAD-TGFbeta signaling","0.2842","0.2996","cells ~ clinical","1.094744121715076","CREBBP,HDAC1,SMAD2,SMAD3,SMAD4,TGFBR1","1","SMAD-TGFbeta signaling","NEST:146","0","1","0.2892","0.3166","1.057","1.054","false","SMAD-TGFbeta signaling","0.7781512503836436","6","6"
"ATM,ATR,BLM,BRCA1,XPA,XPC","RPA complex associated proteins","0.3174","0.3078","cells ~ clinical","0.8721272834413671","ATM,ATR,BLM,BRCA1,XPA,XPC","0","RPA complex associated proteins","NEST:134","1","0","0.3394","0.296","1.081","0.957","false","RPA complex associated proteins","0.7781512503836436","6","6"
"ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4","Extended mismatch repair complex","0.2828","0.2448","cells ~ clinical","0.7361778846153846","ERCC1,ERCC4,MLH1,MLH3,MSH2,MSH3,MSH6,PMS1,PMS2,SLX4","0","Extended mismatch repair complex","NEST:125","1","0","0.3328","0.245","1.2226","1.0308","false","Extended mismatch repair complex","1.0","10","10"
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK5,CDK6,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CKS1B,E2F1,E2F2,E2F3,E2F4,E2F5,HLA-A,MDM2,RB1,RBL1,RBL2,TFDP1,TP53","Cyclin D associated events in G1","0.6484","0.545","cells ~ clinical","0.8334380892520428",,"1","Cyclin D associated events in G1","NEST:58","4","3","0.6364","0.5304","0.9818","0.9714","false","Cyclin D associated events in G1","1.4313637641589874","27",
"BCLAF1,CASP8,CDC73,CHEK2,CREBBP,CTCF,DDX3X,DKC1,EP300,EWSR1,FUS,HRAS,MDM2,NHP2,NPM1,PA2G4,PRPF40B,RBM10,RPL5,RPS15,SF1,SF3B1,SRSF2,TERT,TNF,TP53,U2AF1,UPF1,XPC,ZRSR2","Ribo- nucleoprotein complexes II","0.4876","0.5294","cells ~ clinical","0.9921641791044776","CHEK2,CTCF,DDX3X,DKC1,EP300,HRAS,MDM2,NHP2,NPM1,PA2G4,RPL5,RPS15,TERT,TP53,XPC","0","Ribonucleoprotein complexes II","NEST:17","3","3","0.536","0.5318","1.118","1.0048","false","Ribonucleoprotein complexes II","1.4771212547196624","30","15"
"ASNS,ATIC,CDC73,CDK8,CHEK2,CTCF,DDX3X,DIS3,DKC1,FOXL2,FUS,GSTP1,HDAC1,HRAS,NHP2,NPM1,NSD2,PA2G4,PELP1,PHB2,PPP2CA,PPP2CB,RHOA,RPL5,RPS15,SF3B1,SHQ1,TERT,TNF,TOP2A,UMPS,UPF1,VHL,XPC","Ribo- nucleoprotein complexes","0.5732","0.3742","cell","0.6577777777777778","ATIC,CDK8,GSTP1,HDAC1,PPP2CA,PPP2CB,TOP2A,UMPS,UPF1,VHL","0","Ribonucleoprotein complexes","NEST:9","3","1","0.585","0.3848","1.0282","1.03","false","Ribonucleoprotein complexes","1.5314789170422551","34","10"
"ANKRD11,AR,ARID1A,ARID1B,ARID2,ASXL1,ASXL2,ATM,ATR,ATRX,BAP1,BARD1,BCL11B,BCL6,BCL7A,BCLAF1,BCOR,BCORL1,BRD4,CASP8,CDC73,CDK12,CDK8,CHD2,CHD4,CREBBP,CTCF,CTNNB1,CUX1,DAXX,DDX3X,DKC1,DNMT1,DNMT3A,DNMT3B,DOT1L,E2F1,E2F6,EED,EMSY,EP300,ERCC2,ERCC3,ERCC5,ERCC6,ESR1,EWSR1,EZH2,FANCD2,FBXW7,FUBP1,FUS,GATA1,GATA3,HDAC1,HDAC2,HDAC3,HDAC5,HIST1H1E,HIST3H3,ING1,IRF2,KAT6A,KDM5A,KDM6A,KMT2A,KMT2B,KMT2C,KMT2D,LATS1,MAGI2,MAP3K7,MAX,MDM2,MED1,MED12,MEN1,MGA,MLLT3,MSH3,MTA1,MYB,MYC,MYCL,MYCN,NCOR1,NF1,NPM1,NSD1,NUP98,PALB2,PARP1,PBRM1,PHF6,PML,PPP1CA,PPP1CC,PPP2R1A,PRCC,PRDM1,PRKDC,PRPF40B,PTPN11,RAD21,RANBP2,RARA,RB1,RBL1,RBM10,REL,RSF1,RUNX1,SETD2,SF1,SF3B1,SMAD2,SMARCA1,SMARCA4,SMARCB1,SMARCE1,SMC1A,SMC3,SOX2,SPEN,SRSF2,STAG1,STAG2,TAF1,TBL1XR1,TERT,TFDP1,TNF,TOP1,TOP2A,TP53,U2AF1,UPF1,WRN,WT1,XPA,XPO1,XRCC1,YEATS4,ZBTB2,ZNF217,ZRSR2","Reg. of transcription","0.7272","0.6002","cells ~ clinical","0.7815908486299548","ANKRD11,ASXL1,ATM,ATR,BAP1,CUX1,DOT1L,ERCC2,ERCC3,ERCC5,ERCC6,FANCD2,HDAC5,LATS1,MAP3K7,MLLT3,MSH3,NCOR1,NUP98,PPP1CA,PPP2R1A,WT1,XPA","1","Regulation of transcription","NEST:6","5","3","0.7518","0.5876","1.0356","0.979","false","Regulation of transcription","2.164352855784437","146","23"
"AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL","CBP and p300 binds NF-kB complex","0.3124","0.3772","cells ~ clinical","0.8347746927628584","AKT1,AR,CDKN1B,CREBBP,EP300,FOXO3,RARA,SMAD4,SMARCB1,VHL","1","CBP and p300 binds NF-kB complex","NEST:168","2","1","0.4394","0.3668","1.5346","0.9668","false","CBP and p300 binds NF-kB complex","1.0","10","10"
"CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53","NEST:126","0.297","0.4482","cells ~ clinical","1.1384457025218735","CHEK2,CREBBP,CTNNB1,EP300,HDAC2,HDAC3,KAT6A,KMT2A,TCF3,TP53","0","NEST:126","NEST:126","1","2","0.3886","0.4424","1.4424","0.9906","false","NEST:126","1.0","10","10"
"ANKRD11,AR,BCL6,CREBBP,GPS2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,NCOA3,NCOR1,NCOR2,PML,RUNX1T1,TBL1XR1","Histone deacetylation","0.357","0.2244","cell","0.439662447257384","AR,BCL6,HDAC1,HDAC2,HDAC4,HDAC5,RUNX1T1","0","HDACs deacetylate histones","NEST:107","2","0","0.474","0.2084","1.5432","0.9254","false","HDACs deacetylate histones","1.2041199826559248","16","7"
"DAXX,GATA3,NUP93,NUP98,RANBP2,TERT,XPO1","Nuclear transport","0.4166","0.17","cell","0.3792282039066222","GATA3","0","Nuclear transport","NEST:44","2","0","0.4198","0.1592","1.0072","0.9474","false","Nuclear transport","0.8450980400142568","7","1"
"CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT","Transcription elongation","0.3348","0.3238","cells ~ clinical","1.0343490304709142","CDC73,CHD2,DNMT3A,KMT2A,PPP1CC,PTPN11,SETD2,TERT","0","Transcription elongation","NEST:42","1","1","0.361","0.3734","1.0818","1.1934","false","Transcription elongation","0.9030899869919435","8","8"
"RAD21,SMC1A,SMC3,STAG1,STAG2","Cohesin complex","0.2722","0.14","cell","0.4427244582043343","RAD21,SMC1A,SMC3,STAG1,STAG2","0","Cohesin complex","NEST:196","1","0","0.323","0.143","1.413","1.0228","false","Cohesin complex","0.6989700043360189","5","5"
"ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1","NEST:163","0.3258","0.0464","cell","0.08846857840146431","ANKRD11,GPS2,HDAC3,NCOR1,NCOR2,PML,TBL1XR1","0","NEST:163","NEST:163","1","0","0.3278","0.029","1.009","0.4702","false","NEST:163","0.8450980400142568","7","7"
"PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A","Phosphatase 2A catalytic subunit","0.188","0.0718","unimportant","0.40656851642129105","PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A","1","Phosphatase 2A catalytic subunit","NEST:170","0","0","0.1766","0.0718","0.7138","1.0","false","Phosphatase 2A catalytic subunit","0.6989700043360189","5","5"
"CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53","G1 to S cell cycle control","0.4064","0.4172","cells ~ clinical","0.8222967309304275","CCND1,CCND2,CCND3,CCNE1,CCNE2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,TP53","0","G1 to S cell cycle control","NEST:150","2","1","0.4772","0.3924","1.1984","1.0038","false","G1 to S cell cycle control","1.1139433523068367","13","13"
"APC,AXIN1,CTNNB1,GSK3B,HLA-A","Beta-catenin destruction complex","0.183","0.1618","unimportant","0.4906609195402299","APC,AXIN1,CTNNB1,GSK3B,HLA-A","1","Beta-catenin destruction complex","NEST:239","0","0","0.2784","0.1366","3.2134","0.8394","false","Beta-catenin destruction complex","0.6989700043360189","5","5"
"CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53","Intrinsic apoptosis","0.2668","0.374","cells ~ clinical","1.1111111111111112","CASP8,DAXX,FAS,MAP2K4,MAPK1,PARP1,TP53","1","Intrinsic pathway for apoptosis","NEST:127","1","1","0.3402","0.378","-5.3064","1.015","false","Intrinsic pathway for apoptosis","0.8450980400142568","7","7"
"ANKRD11,BCL6,CEBPA,CREBBP,ESR2,GPS2,HDAC3,HDAC5,NCOA3,NCOR1,NCOR2,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1","Nuclear receptor transcription","0.3462","0.2604","cell","0.44412607449856734","BCL6,CEBPA,ESR2,GPS2,HDAC3,HDAC5,NRIP1,PGR,RARA,RUNX1T1,RXRA,TBL1XR1","1","Nuclear receptor transcription pathway","NEST:60","2","0","0.4886","0.217","1.6122","0.8666","false","Nuclear receptor transcription pathway","1.2304489213782739","17","12"
"BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53","Resolution of D-loop structures","0.4126","0.3914","cells ~ clinical","1.095669687814703","BARD1,BLM,BRCA1,BRCA2,BUB1B,FANCD2,RAD51,RAD51C,TP53","1","Resolution of D-loop structures","NEST:193","1","2","0.3972","0.4352","0.9636","1.1466","false","Resolution of D-loop structures","0.9542425094393249","9","9"
"CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL","COP9 signalosome/ Cul4-RING ubiquitin E3 ligase complex","0.2176","0.2462","cell","0.5968063872255489","CUL3,DDB2,ELOC,MDM2,NF2,STK11,TET2,VHL","1","COP9 signalosome/Cul4-RING ubiquitin E3 ligase complex","NEST:61","1","0","0.3006","0.1794","1.5332","0.7048","false","COP9 signalosome/Cul4-RING ubiquitin E3 ligase complex","0.9030899869919435","8","8"
"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2","EGF/ beta-catenin signaling","0.3378","0.27","cells ~ clinical","0.7215189873417721","APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,FYN,HDAC2","1","EGF/beta-catenin signaling","NEST:142","2","0","0.4108","0.2964","1.3584","1.1014","false","EGF/beta-catenin signaling","1.0","10","10"
"ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3","Protein processing in ER","0.3586","0.2244","cell","0.6581246359930111","ARFRP1,CALR,EGFR,SEC23B,TRAF3,TUSC3","0","Protein processing in endoplasmic reticulum","NEST:21","1","0","0.3434","0.226","0.9824","1.0104","false","Protein processing in endoplasmic reticulum","0.7781512503836436","6","6"
"APC,CBL,CDH1,CDH2,CTNNA1,CTNNB1,EGF,EGFR,ERBB2,FYN,HDAC1,HDAC2,SOX2,TCF7L2","Adherens junction","0.4716","0.3586","cells ~ clinical","0.6986027944111776","HDAC1,SOX2","0","Adherens junction","NEST:108","3","1","0.501","0.35","1.0618","0.9746","false","Adherens junction","1.146128035678238","14","2"
"BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A","Erb and JAK-STAT signaling","0.316","0.288","cell","0.6598393574297189","BCR,CBL,CBLB,CSF3R,EGF,EGFR,ERBB2,ERBB3,ERBB4,FRS2,INPPL1,IRS1,JAK1,JAK2,PDGFRA,PIK3R1,PLCG2,PTPN11,RET,STAT3,STAT5A","0","Erb and JAK-STAT signaling","NEST:89","2","1","0.498","0.3286","2.0786","1.1468","false","Erb and JAK-STAT signaling","1.3222192947339193","21","21"
"CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL","COP9 signalosome/ SCF ubiquitin E3 ligase complex","0.228","0.1808","unimportant","0.2770897832817337","CUL3,ELOC,FBXW7,HSP90AA1,PARK2,SKP1,STK11,VHL","0","COP9 signalosome/SCF ubiquitin E3 ligase complex","NEST:77","0","0","0.2584","0.0716","1.1816","0.4064","false","COP9 signalosome/SCF ubiquitin E3 ligase complex","0.9030899869919435","8","8"
"EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53","EGF/FGF stim. of cell proliferation","0.502","0.4276","cells ~ clinical","0.9691293791189732","EGF,EGFR,ERBB3,ERBB4,FGF1,FGF2,FGF5,FGF7,FRS2,IGF1,IGF2,MYC,RB1,TP53","0","EGF/FGF stimulation of cell proliferation","NEST:132","3","3","0.5766","0.5588","1.304","1.6712","false","EGF/FGF stimulation of cell proliferation","1.146128035678238","14","14"
"ARFRP1,CALR,CFTR,EGFR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,SEC23B,TNF,TRAF3,TUSC3","Membrane trafficking","0.4404","0.242","cell","0.5829675153643546","CFTR,KRAS,NRAS,PIK3C3,PREX2,RAB35,RAC1,RINT1,TNF","0","Membrane trafficking","NEST:12","2","0","0.4556","0.2656","1.0542","1.1698","false","Membrane trafficking","1.1760912590556813","15","9"
"ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1","PIK3-EGFR signaling","0.3096","0.2992","cell","0.5770843036795529","ABL1,CBL,CRKL,CTNNB1,EGF,EGFR,ERBB2,MET,PIK3R1,PIK3R2,SOCS1","1","PIK3-EGFR signaling","NEST:153","2","0","0.4294","0.2478","1.6304","0.8454","false","PIK3-EGFR signaling","1.0413926851582251","11","11"
"BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3","TNF signaling","0.3276","0.3574","cells ~ clinical","0.8291316526610645","BIRC3,CASP8,CD40,FAS,MAP3K7,PARP1,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3","1","TNF signaling pathway","NEST:83","2","1","0.4284","0.3552","1.6742","0.998","false","TNF signaling pathway","1.0791812460476249","12","12"
"AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN","PIK3/AKT/PTEN signaling","0.3014","0.2718","cell","0.6368821292775666","AKT1,AKT2,AKT3,FOXO3,HSP90AA1,PDPK1,PIK3CB,PIK3CD,PRKCZ,PRKDC,PTEN","0","PIK3/AKT/PTEN signaling","NEST:138","2","0","0.4208","0.268","1.392","0.9874","false","PIK3/AKT/PTEN signaling","1.0413926851582251","11","11"
"AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1","AKT/MTOR pathway II","0.362","0.2412","cell","0.59","AKT1,MAPK1,MTOR,PPP2R2A,RICTOR,RPS6KB1,RPTOR,SQSTM1","1","AKT/MTOR pathway II","NEST:137","2","0","0.4","0.236","1.1076","1.0224","false","AKT/MTOR pathway II","0.9030899869919435","8","8"
"ABL1,ACVR1B,AKT1,AKT2,AKT3,ALK,ALOX12B,AMER1,ANKRD11,APC,ARAF,ARFRP1,AURKB,AXIN1,AXIN2,BARD1,BCAR1,BCL2,BCL2L1,BCL2L11,BCL2L2,BCL6,BCLAF1,BCR,BIRC3,BMPR1A,BRAF,BRCA1,BTK,CALR,CASP8,CBL,CBLB,CCND1,CD40,CDC25A,CDH1,CDH2,CDKN1B,CEBPA,CFTR,CHEK2,CREBBP,CRKL,CSF3R,CTC1,CTNNA1,CTNNB1,CTRC,CUL3,DAXX,DDB2,EBF1,EGF,EGFR,EGLN1,ELOC,EP300,EPCAM,EPHB2,ERBB2,ERBB3,ERBB4,ESR2,ETV4,ETV5,FAS,FBXO11,FBXW7,FGF1,FGF2,FGF5,FGF7,FGFR1,FGFR2,FGFR3,FGFR4,FH,FLG,FOXO1,FOXO3,FRS2,FYN,GPS2,GSK3B,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HLA-A,HRAS,HSP90AA1,IFNAR1,IFNAR2,IFNGR1,IGF1,IGF1R,IGF2,INPPL1,INSR,IRS1,IRS2,ITPKB,JAK1,JAK2,KDM5C,KEAP1,KLF4,KRAS,LDLR,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K7,MAPK1,MCL1,MDM2,MDM4,MET,MIB1,MS4A1,MTOR,MYC,NCOA3,NCOR1,NCOR2,NF2,NFE2L2,NOTCH1,NOTCH2,NRAS,NRIP1,PARK2,PARP1,PDGFRA,PDPK1,PGR,PIAS4,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PLCG2,PPP1CA,PPP2R2A,PRAME,PREX2,PRKAR1A,PRKCI,PRKCZ,PRKDC,PRSS1,PRSS8,PTEN,PTK2,PTPN11,PTPN13,RAB35,RAC1,RAF1,RARA,RASA1,RB1,RET,RHOA,RICTOR,RINT1,RIT1,RPS6KB1,RPTOR,RUNX1T1,RXRA,SDHA,SDHB,SEC23B,SKP1,SMAD2,SMAD3,SMAD4,SOCS1,SOD2,SOX2,SQSTM1,SRC,STAT3,STAT5A,STAT5B,STAT6,STK11,SYK,TBC1D12,TBL1XR1,TBX3,TCF3,TCF7L2,TET2,TGFBR1,TGFBR2,TNF,TNFAIP3,TNFRSF9,TP53,TRAF2,TRAF3,TSC1,TSC2,TUSC3,VHL,YAP1,ZNF471,ZNF750","Other signaling processes","0.8308","0.8236","cells ~ clinical","0.9850606909430438","BCLAF1,CTC1,CTRC,EP300,FGFR3,FH,ITPKB,KDM5C,KEAP1,LDLR,MAP3K1,NFE2L2,NOTCH1,NOTCH2,PRKAR1A,PRKCI,PRSS1,RHOA,SDHA,SDHB,TBC1D12,TCF3,YAP1,ZNF471","1","Other signaling processes","NEST:1","5","5","0.8568","0.844","1.0314","1.0252","false","Other signaling processes","2.3344537511509307","216","24"
"AMER1,AXIN1,CTNNB1,DAXX,MYC","Non-canonical Wnt signaling pathway","0.255","0.2012","cell","0.5578144853875476","AMER1,AXIN1,CTNNB1,DAXX,MYC","0","Non-canonical Wnt signaling pathway","NEST:221","1","0","0.3148","0.1756","1.5122","0.8772","false","Non-canonical Wnt signaling pathway","0.6989700043360189","5","5"
"ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1","RAS-RAF-MAPK signaling","0.3328","0.207","cell","0.578733294596165","ARAF,BRAF,HRAS,KRAS,MAP2K1,MAPK1,RAF1","1","RAS-RAF-MAPK signaling","NEST:212","1","0","0.3442","0.1992","1.1232","0.9748","false","RAS-RAF-MAPK signaling","0.8450980400142568","7","7"
"ABL1,AKT1,ARAF,BRAF,CBL,CDC25A,CDKN1B,EGFR,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MDM4,MYC,RAF1,STAT3,STAT5A,TNF,TSC1,TSC2","MAPK signaling","0.4872","0.3792","cells ~ clinical","0.7435303205870992","ABL1,AKT1,CBL,CDKN1B,EGFR,MDM4,TNF,TSC1,TSC2","0","MAPK signaling","NEST:73","3","1","0.5178","0.385","1.0866","1.0128","false","MAPK signaling","1.3617278360175928","23","9"
"EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3","NEST:195","0.3536","0.3038","cells ~ clinical","0.8782467532467533","EGFR,ERBB2,FGFR1,FRS2,KRAS,STAT3","1","NEST:195","NEST:195","1","1","0.3696","0.3246","1.0744","1.0926","false","NEST:195","0.7781512503836436","6","6"
"CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL","Protein neddylation","0.2548","0.1776","cell","0.37347853939782194","CUL3,ELOC,FBXW7,HSP90AA1,MDM2,SKP1,STK11,TNF,VHL","0","Protein neddylation","NEST:105","1","0","0.3122","0.1166","1.3946","0.5852","false","Protein neddylation","0.9542425094393249","9","9"
"AKT1,APC,AXIN1,AXIN2,CTNNB1,GSK3B,HLA-A,PPP1CA","Extended beta-catenin destruction complex","0.2834","0.2288","cells ~ clinical","0.7333333333333333","AKT1,AXIN2,PPP1CA","0","Extended beta-catenin destruction complex","NEST:174","1","0","0.324","0.2376","2.914","1.0818","false","Extended beta-catenin destruction complex","0.9030899869919435","8","3"
"AURKB,CCND1,CUL3,DDB2,ELOC,ETV4,ETV5,FBXO11,FBXW7,HSP90AA1,MDM2,NF2,PARK2,PRAME,RIT1,SKP1,STK11,TET2,TNF,TP53,VHL","Ubiquitination and neddylation","0.3982","0.3944","cells ~ clinical","0.9531987977672821","AURKB,CCND1,ETV4,ETV5,FBXO11,PRAME,RIT1,TP53","1","Ubiquitination and neddylation","NEST:32","2","2","0.4658","0.444","1.2056","1.4044","false","Ubiquitination and neddylation","1.3222192947339193","21","8"
"ARAF,BRAF,CDC25A,HDAC4,HDAC5,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MYC,RAF1,STAT3,STAT5A","MAPK and MAP2K activation","0.3146","0.2544","cell","0.5137294058911632","CDC25A,HDAC4,HDAC5,MAP2K2,MYC,STAT3,STAT5A","0","MAPK and MAP2K activation","NEST:104","2","0","0.4006","0.2058","1.4164","0.8424","false","MAPK and MAP2K activation","1.146128035678238","14","7"
"APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2","Beta-catenin-TCF complex","0.2914","0.2952","cells ~ clinical","0.7959396147839668","APC,CTNNA1,CTNNB1,EGFR,ERBB2,HDAC2,TCF7L2","0","Beta-catenin-TCF complex","NEST:182","1","1","0.3842","0.3058","1.6182","1.0474","false","Beta-catenin-TCF complex","0.8450980400142568","7","7"
"BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53","Apoptosis","0.254","0.3884","cells ~ clinical","0.9600877192982457","BCL2,BCL2L1,BCL2L11,BCL2L2,CASP8,FAS,IFNGR1,MCL1,MS4A1,PARP1,PTPN13,TBX3,TP53","0","Apoptosis","NEST:47","2","2","0.456","0.4378","0.695","1.2898","false","Apoptosis","1.1139433523068367","13","13"
"PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2","TGF-beta pathway/SMAD protein complex","0.2782","0.2068","unimportant","0.8112927191679049","PIAS4,PTEN,SMAD2,SMAD3,SMAD4,TGFBR1,TGFBR2","0","TGF-beta pathway/SMAD protein complex","NEST:81","0","0","0.2692","0.2184","1.0364","1.0662","false","TGF-beta pathway/SMAD protein complex","0.8450980400142568","7","7"
"E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53","Oncogene induced senescence","0.4514","0.4726","cells ~ clinical","0.9848357203032856","E2F1,E2F2,E2F4,MDM2,RB1,TFDP1,TP53","0","Oncogene induced senescence","NEST:199","2","2","0.4748","0.4676","1.0512","0.9886","false","Oncogene induced senescence","0.8450980400142568","7","7"
"BCLAF1,CASP8,CDC73,CREBBP,EWSR1,FUS,PRPF40B,RBM10,SF1,SF3B1,SRSF2,TNF,U2AF1,UPF1,ZRSR2","Spliceosomal-snRNP complex","0.3512","0.3484","cells ~ clinical","1.0373092142453364","BCLAF1,CASP8,CREBBP,EWSR1,FUS,SRSF2,TNF,U2AF1,UPF1","0","Spliceosomal-snRNP complex","NEST:26","1","1","0.3538","0.367","1.0076","1.0492","false","Spliceosomal-snRNP complex","1.1760912590556813","15","9"
"ERG,FLT1,FLT4,KDR,NOTCH4,SH2B3,VEGFA,VSIR","NEST:49","0.3406","0.1784","cell","0.5919335705812574","VSIR","0","NEST:49","NEST:49","1","0","0.3372","0.1996","0.983","1.2108","false","NEST:49","0.9030899869919435","8","1"
"BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53","Regulation of TP53","0.3436","0.3972","cells ~ clinical","1.1068052930056709","BRCA1,CHEK1,EP300,HDAC1,IKZF1,JUN,MDM2,PARP1,PML,SMARCA4,TP53","0","Regulation of TP53 Activity","NEST:117","2","2","0.4232","0.4684","1.2798","1.3824","false","Regulation of TP53 Activity","1.0413926851582251","11","11"
